"doi","publication_date","title","journal","issn","publisher","member_id"
"10.1212/wnl.0b013e3182a55fcb","2013-09-23","Teaching Video NeuroImages: Reading epilepsy: A seizure in a thousand words (or less)","Neurology","0028-3878","Ovid Technologies (Wolters Kluwer Health)",276
"10.1016/j.pscychresns.2013.05.007","2013-11","An exploratory study of the relationship of symptom domains and diagnostic severity to PET scan imaging in borderline personality disorder","Psychiatry Research: Neuroimaging","0925-4927","Elsevier BV",78
"10.4049/jimmunol.1302033","2013-12-15","Temporal Requirements for B Cells in the Establishment of CD4 T Cell Memory","The Journal of Immunology","0022-1767","The American Association of Immunologists",2487
"10.1002/jeab.48","2013-09-13","Delayed reinforcement and fixed-ratio performance","Journal of the Experimental Analysis of Behavior","0022-5002","Wiley-Blackwell",311
"10.4028/www.scientific.net/amm.300-301.1344","2013-02","Selective Glycine Polymorph Crystallization by Using Silver Nanoparticles","AMM","1662-7482","Trans Tech Publications",2457
"10.1109/led.2013.2242039","2013-03","<formula formulatype=""inline""><tex Notation=""TeX"">$\hbox{GeO}_{2}$</tex></formula> Passivation for Low Surface Recombination Velocity on Ge Surface","IEEE Electron Device Lett.","0741-3106","Institute of Electrical & Electronics Engineers (IEEE)",263
"10.9790/3021-03633136","2013-06","Design And Strength Analysis Of Composite Bamboo Column Elements","IOSRJEN","2278-8719","IOSR Journals",4786
"10.1111/agec.12038","2013-06-27","Structural change in urban Chinese food preferences","Agricultural Economics","0169-5150","Wiley-Blackwell",311
"10.1145/2491500.2491501","2013-07-01","Introduction to the Special Issue of The Turn to The Wild","TOCHI","1073-0516","Association for Computing Machinery (ACM)",320
"10.1088/1742-6596/451/1/012007","2013-07-17","Shear fracture of jointed steel plates of bolted joints under impact load","J. Phys.: Conf. Ser.","1742-6596","IOP Publishing",266
"10.1007/s10068-013-0272-9","2013-10-17","Antibacterial activity of a novel flavonoid, 7-O-butyl naringenin, against methicillin-resistant Staphylococcus aureus (MRSA)","Food Science and Biotechnology","1226-7708","Springer Science + Business Media",297
"10.1016/j.jand.2013.05.006","2013-07","Practice Paper of the Academy of Nutrition and Dietetics Abstract: Ethical and Legal Issues of Feeding and Hydration","Journal of the Academy of Nutrition and Dietetics","2212-2672","Elsevier BV",78
"10.1016/j.rehab.2013.07.831","2013-10","Neck pain revealing an Eagle syndrome. A case report","Annals of Physical and Rehabilitation Medicine","1877-0657","Elsevier BV",78
"10.1016/s0034-3617(13)70063-8","2013-05","Several hundred orders for BMW i3","Reinforced Plastics","0034-3617","Elsevier BV",78
"10.1021/jp309541h","2013-05-02","Probing Mercury(II)DNA Interactions by Nanopore Stochastic Sensing","J. Phys. Chem. B","1520-6106","American Chemical Society (ACS)",316
"10.1016/j.eswa.2012.12.084","2013-08","Sentiment polarity detection in Spanish reviews combining supervised and unsupervised approaches","Expert Systems with Applications","0957-4174","Elsevier BV",78
"10.1093/mnras/sts630","2013-01-10","M dwarf companions to white dwarfs - I. Relating magnetic activity, rotation and age","Monthly Notices of the Royal Astronomical Society","0035-8711","Oxford University Press (OUP)",286
"10.1016/s0167-1987(13)00124-4","2013-10","Editorial Advisory Board","Soil and Tillage Research","0167-1987","Elsevier BV",78
"10.1016/s1569-9056(13)62170-3","2013-10","S137 Long-term evaluation after bladder autoaugmentation with rectus muscle backing","European Urology Supplements","1569-9056","Elsevier BV",78
"10.1021/ja3100963","2013-01-09","Mechanistic Studies into Amine-Mediated Electrophilic Arene Borylation and Its Application in MIDA Boronate Synthesis","J. Am. Chem. Soc.","0002-7863","American Chemical Society (ACS)",316
"10.1007/s11069-013-0990-6","2013-12-10","Failure risk assessment of interdependent infrastructures against earthquake, a Petri net approach: case studypower and water distribution networks","Nat Hazards","0921-030X","Springer Science + Business Media",297
"10.1371/journal.pone.0071183","2013-08-07","Developing Prediction Equations and a Mobile Phone Application to Identify Infants at Risk of Obesity","PLoS ONE","1932-6203","Public Library of Science (PLoS)",340
"10.1016/j.path.2013.03.008","2013-06","Hepatocellular Adenomas","Surgical Pathology Clinics","1875-9181","Elsevier BV",78
"10.5566/ias.v32.p45-55","2013-03-19","IMPROVED ESTIMATION OF FIBER LENGTH FROM 3-DIMENSIONAL IMAGES","Image Analysis & Stereology","1854-5165","Slovenian Society for Stereology and Quantitative Image Analysis",3523
"10.1055/s-0033-1333932","2013-09-19","Erste Hilfe-Kurs fü¾¶¼r Tierhalter - Betriebswirtschaftliche Kalkulation eines Serviceangebotes","team.konkret","1869-3202","Thieme Publishing Group",194
"10.1007/s10577-013-9348-x","2013-05","Unbiased segregation of yeast chromatids in Saccharomyces cerevisiae","Chromosome Research","0967-3849","Springer Science + Business Media",297
"10.4028/www.scientific.net/amr.807-809.2722","2013-09","Microstructural Changes during Thermal Fatigue in a Nickel-Base Directionally Solidified Superalloy","AMR","1662-8985","Trans Tech Publications",2457
"10.1007/s11265-013-0778-7","2013-06-29","Real-time Hand Gesture Recognition from Depth Images Using Convex Shape Decomposition Method","J Sign Process Syst","1939-8018","Springer Science + Business Media",297
"10.1111/jicd.12038","2013-06-18","Immunohistochemical detection of p53 and p63 in oral squamous cell carcinoma, oral leukoplakia, and oral submucous fibrosis","J Invest Clin Dent","2041-1618","Wiley-Blackwell",311
"10.1016/j.mimet.2013.07.013","2013-10","Update on Campylobacter Methodologies","Journal of Microbiological Methods","0167-7012","Elsevier BV",78
"10.1002/ange.201306511","2013-11-12","A Traceless Directing Group for Cü¾¦¼H Borylation","Angew. Chem.","0044-8249","Wiley-Blackwell",311
"10.5406/jamerethnhist.33.1.0123","2013-09-16","Notes on Contributors","Journal of American Ethnic History","0278-5927","University of Illinois Press",3673
"10.1088/1367-2630/15/6/065011","2013-06-01","Morphological instabilities of stratified epithelia: a mechanical instability in tumour formation","New J. Phys.","1367-2630","IOP Publishing",266
"10.1163/18747167-12341257","2013-01-01","Some Passages on Turkic Peoples in Zoroastrian Pahlavi Literature","Journal of Persianate Studies","1874-7094","Brill Academic Publishers",50
"10.1016/s2214-109x(13)70061-5","2013-09","Surgical follow-up in low-income and middle-income countries","The Lancet Global Health","2214-109X","Elsevier BV",78
"10.12968/bjon.2013.22.7.420","2013-04-10","The Government response to the Francis report","Br J Nursing","0966-0461","Mark Allen Group",5130
"10.3368/er.31.4.425","2013-10-24","Water","Ecological Restoration","1522-4740","University of Wisconsin Press",1939
"10.1192/bjp.bp.113.120709","2013-05-01","Mental Health and Human Rights: Vision, Praxis, and Courage","The British Journal of Psychiatry","0007-1250","Royal College of Psychiatrists",170
"10.1016/j.clon.2012.12.005","2013-04","Lung Metastases Treated with Image-guided Stereotactic Body Radiation Therapy","Clinical Oncology","0936-6555","Elsevier BV",78
"10.1166/jno.2013.1446","2013-01-01","Chemical Vapor Deposition of Graphene on Nickel from Different Gaseous Atmospheres","Journal of Nanoelectronics and Optoelectronics","1555-130X","American Scientific Publishers",17
"10.1002/chin.201352154","2013-12-24"," ChemInform Abstract: Ligand-Free Cu 2 O-Catalyzed Cross Coupling of Nitrogen Heterocycles with Iodopyridines. ","ChemInform","0931-7597","Wiley-Blackwell",311
"10.5860/choice.51-0977","2013-09-19","Women and management: global issues and promising solutions: v.1: Degrees of challenge; v.2: Signs of solutions","Choice Reviews Online","0009-4978","American Library Association",3932
"10.1007/s11548-013-0963-y","2013-12-10","Simulation of spatiotemporal CT data sets using a 4D MRI-based lung motion model","Int J CARS","1861-6410","Springer Science + Business Media",297
"10.1109/tcsvt.2012.2210670","2013-03","Practical Camera Calibration From Moving Objects for Traffic Scene Surveillance","IEEE Transactions on Circuits and Systems for Video Technology","1051-8215","Institute of Electrical & Electronics Engineers (IEEE)",263
"10.1134/s0031918x13050116","2013-05","Structure levels of pearlite deformation in carbon steel of eutectoid composition","Phys. Metals Metallogr.","0031-918X","Pleiades Publishing Ltd",137
"10.1111/evj.12124","2013-09-10","Outcome of horses with synovial structure involvement following solar foot penetrations in four UK veterinary hospitals: 95 cases","Equine Vet J","0425-1644","Wiley-Blackwell",311
"10.1177/1468018113499980","2013-09-09","Alternatives to austerity? Post-crisis policy advice from global institutions","Global Social Policy","1468-0181","SAGE Publications",179
"10.1044/1092-4388(2013/13-0097)","2013-10-28","Conversational and Narrative Speaking in Adolescents: Examining the Use of Complex Syntax","Journal of Speech","1092-4388","American Speech Language Hearing Association",1310
"10.1038/nrg3529","2013-06-18","Telomeres: Telomere length measurement in single cells","Nat Rev Genet","1471-0056","Nature Publishing Group",339
"10.1097/jpo.0b013e31828bf72f","2013-07","JPO SELF-ASSESSMENT EXAMINATION","JPO Journal of Prosthetics and Orthotics","1040-8800","Ovid Technologies (Wolters Kluwer Health)",276
"10.1161/circulationaha.113.002432","2013-09-20","Lipoprotein Apheresis in Patients With Maximally Tolerated Lipid-Lowering Therapy, Lipoprotein(a)-Hyperlipoproteinemia, and Progressive Cardiovascular Disease: Prospective Observational Multicenter Study","Circulation","0009-7322","Ovid Technologies (Wolters Kluwer Health)",276
"10.1002/jcop.21523","2013-02-14","OUTREACH WORKERS PERCEPTIONS OF POSITIVE AND NEGATIVE CRITICAL INCIDENTS: CHARACTERISTICS ASSOCIATED WITH SUCCESSFUL AND UNSUCCESSFUL VIOLENCE INTERRUPTION","Journal of Community Psychology","0090-4392","Wiley-Blackwell",311
"10.1016/j.aprim.2013.01.002","2013-04","Abordaje integral del paciente pluripatolü¾¶¼gico en atenciü¾¶¼n primaria. Tendencia necesitada de hechos","Atención Primaria","0212-6567","Elsevier BV",78
"10.1177/0040573613495228","2013-09-18","Syncretism and the Construction of a Personal Spirituality","Theology Today","0040-5736","SAGE Publications",179
"10.3121/cmr.2013.1176.ps2-38","2013-09-01","PS2-38: Sensitivity to Different Criteria for Identifying Diseased Patients in the Electronic Health Record","Clinical Medicine & Research","1539-4182","Marshfield Clinic Research Foundation",1659
"10.1016/j.jtcvs.2013.02.084","2013-11","Surgical management of cerebral malperfusion with acute type A aortic dissection","The Journal of Thoracic and Cardiovascular Surgery","0022-5223","Elsevier BV",78
"10.1134/s0010508213060130","2013-11","Equation of state of polytetrafluoroethylene for calculating shock compression parameters at megabar pressures","Combustion","0010-5082","Pleiades Publishing Ltd",137
"10.1002/car.2279","2013-06-25","Exploring Pet Loss for Survivors of Child Sexual Abuse: A Hitherto Unchartered Terrain of Trauma Impact and Recovery","Child Abuse Rev.","0952-9136","Wiley-Blackwell",311
"10.4269/ajtmh.12-0250","2013-03-18","Evaluation of Recombinant Plasmodium knowlesi Merozoite Surface Protein-133 for Detection of Human Malaria","American Journal of Tropical Medicine and Hygiene","0002-9637","American Society of Tropical Medicine and Hygiene",2795
"10.1002/int.21580","2013-01-14"," Mining Top-Rank- k Erasable Itemsets by PID_lists ","Int. J. Intell. Syst.","0884-8173","Wiley-Blackwell",311
"10.17323/1995-459x.2013.3.74.81","2013-09-30","International Workshop ü¾¦¼Public Research Organisations and Industry-Science Linksü¾¦¼,564C=0@>4=K9 A5<8=0@ ü¾¦¼>AC40@AB25==K5 =0CG=K5 >@30=870F88. 708<>459AB285 =0C:8 8 @50;L=>3> A5:B>@0 M:>=><8:8ü¾¦¼","Foresight-Russia","1995-459X","National Research University, Higher School of Economics (HSE)",6872
"10.1016/j.joen.2012.12.035","2013-07","Osteocalcin Expression in Pulp Inflammation","Journal of Endodontics","0099-2399","Elsevier BV",78
"10.1007/s00350-013-3487-0","2013-08","Frank Wenzel (Hrsg.), Handbuch des Fachanwalts Medizinrecht","MedR","0723-8886","Springer Science + Business Media",297
"10.1002/chin.201341212","2013-09-19","ChemInform Abstract: IUPAC-NIST Solubility Data Series. 94. Rare Earth Metal Iodides and Bromides in Water and Aqueous Systems. Part 1. Iodides","ChemInform","0931-7597","Wiley-Blackwell",311
"10.1103/physreva.87.053807","2013-05","Faraday rotation in a disordered medium","Physical Review A","1050-2947","American Physical Society (APS)",16
"10.1134/s1063783413080179","2013-08","Algorithms for processing scratch images in the sclerometry method","Phys. Solid State","1063-7834","Pleiades Publishing Ltd",137
"10.1177/0954410013479714","2013-03-20","Optimal trajectory planning for path convergence in three-dimensional space","Proceedings of the Institution of Mechanical Engineers","0954-4100","SAGE Publications",179
"10.1002/jbmr.1837","2013-01-15","Erratum: Safety of osteoanabolic therapy: A decade of experience","Journal of Bone and Mineral Research","0884-0431","Wiley-Blackwell",311
"10.12733/jics20102433","2013-11-20","The Research on Efficiency of Commercial Banks Based on Network DEA Approach -- Empirical Evidence from Chinese Commercial Banks","J. Inf. Comput. Sci.","1548-7741","Binary Information Press",4991
"10.1177/1936724412475131","2013-02-19","Conducting Evaluation Research in the Clinical Setting: ""Know before You Dig""","Journal of Applied Social Science","1936-7244","SAGE Publications",179
"10.1061/(asce)hy.1943-7900.0000778","2013-10","Closure to Separation Zone in Flow past a Spur Dyke on Rigid Bed Meandering Channel by Kedar Sharma and Pranab K. Mohapatra","Journal of Hydraulic Engineering","0733-9429","American Society of Civil Engineers (ASCE)",30
"10.5588/ijtld.12.0426","2013-02-01","Smoking and 2-month culture conversion during anti-tuberculosis treatment","The International Journal of Tuberculosis and Lung Disease","1027-3719","International Union Against Tuberculosis and Lung Disease",3554
"10.11622/smedj.2013147","2013-08","The BMT Data Book Including Cellular Therapy (Third edition)","Singapore Medical Journal","0037-5675","Singapore Medical Journal",4946
"10.1055/s-0033-1348221","2013-08-05","CD40L Stimulates the Crosstalk Between Adipocytes and Inflammatory Cells","Hormone and Metabolic Research","0018-5043","Thieme Publishing Group",194
"10.1007/s10337-013-2591-7","2013-10-23","Effect of Different Pretreatment Methods on the Measurement of the Entrapment Efficiency of Liposomes and Countermeasures in Free Drug Analysis","Chromatographia","0009-5893","Springer Science + Business Media",297
"10.1111/ppe.12038","2013-02-04","Differences in Birthweight Curves Between Newborns of Immigrant Mothers vs. Infants Born in Their Corresponding Native Countries: Systematic Overview","Paediatric and Perinatal Epidemiology","0269-5022","Wiley-Blackwell",311
"10.1007/s12541-013-0163-2","2013-07","Effects of medication and deep brain stimulation on speed and amplitude are different between finger and forearm in patient with Parkinsons disease","International Journal of Precision Engineering and Manufacturing","2234-7593","Springer Science + Business Media",297
"10.1016/j.transproceed.2012.06.085","2013-03","Metabonomic Analysis of Rats With Acute Heart Rejection","Transplantation Proceedings","0041-1345","Elsevier BV",78
"10.1016/j.cagd.2013.06.005","2013-11","Exact Voronoi diagram of smooth convex pseudo-circles: General predicates, and implementation for ellipses","Computer Aided Geometric Design","0167-8396","Elsevier BV",78
"10.1111/cei.12138","2013-08-06","Disordered Toll-like receptor 2 responses in the pathogenesis of pulmonary sarcoidosis","Clin Exp Immunol","0009-9104","Wiley-Blackwell",311
"10.1016/j.rpemd.2013.12.061","2013-10","I-60. Avaliaü¾¶¼ü¾¶¼o por mü¾¼todo indireto da eficü¾¼cia de polimerizaü¾¶¼ü¾¶¼o de um compü¾¶¼mero colorido","Revista Portuguesa de Estomatologia","1646-2890","Elsevier BV",78
"10.1007/s10103-012-1252-7","2013-01-03","GreenLight HPS 120-W laser photoselective vaporization of the prostate as early therapy for acute urinary retention in advanced prostate cancer patients","Lasers Med Sci","0268-8921","Springer Science + Business Media",297
"10.1002/ange.201208571","2013-01-10","Synthetic Studies on Pseudo-Dimeric Lycopodium Alkaloids: Total Synthesis of Complanadine B","Angew. Chem.","0044-8249","Wiley-Blackwell",311
"10.1016/s1569-1993(13)60202-7","2013-06","60 Permanent correction of >80% of disease-causing mutations in human CF cells","Journal of Cystic Fibrosis","1569-1993","Elsevier BV",78
"10.1177/1757975913502689","2013-12-01","Innovative approaches to promoting cervical health and raising cervical cancer awareness by use of existing cultural structures in resource-limited countries: experiences with traditional marriage counseling in Zambia","Global Health Promotion","1757-9759","SAGE Publications",179
"10.1111/nph.12539","2013-10-08","Adaptation of flower and fruit colours to multiple, distinct mutualists","New Phytologist","0028-646X","Wiley-Blackwell",311
"10.1073/pnas.1305419110","2013-07-29","A functional genomic perspective on human well-being","Proceedings of the National Academy of Sciences","0027-8424","Proceedings of the National Academy of Sciences",341
"10.1016/j.mednuc.2013.03.069","2013-05","Apport de la synchronisation respiratoire dans les nodules pulmonaires chez les patients BPCO","Médecine Nucléaire","0928-1258","Elsevier BV",78
"10.4156/aiss.vol5.issue5.114","2013-03-15","Introduction of Dynamic Parameter to Sheath Dress Pattern with Elastic Fabric","AISS","1976-3700","AICIT",2647
"10.1016/j.semnephrol.2013.07.002","2013-09","Racial Disparities in Kidney Disease Outcomes","Seminars in Nephrology","0270-9295","Elsevier BV",78
"10.1038/ncomms2726","2013-04-16","An engineered dimeric protein pore that spans adjacent lipid bilayers","Nat Comms","2041-1723","Nature Publishing Group",339
"10.1016/j.jmaa.2013.01.060","2013-06","Averaged alternating reflections in geodesic spaces","Journal of Mathematical Analysis and Applications","0022-247X","Elsevier BV",78
"10.7314/apjcp.2013.14.5.2909","2013-05-30",",Sleep Quality in Lung Cancer Patients","Asian Pacific Journal of Cancer Prevention","1513-7368","Asian Pacific Organization for Cancer Prevention",4268
"10.1002/jgm.2702","2013-02","Conference Calendar","The Journal of Gene Medicine","1099-498X","Wiley-Blackwell",311
"10.1016/j.str.2013.06.018","2013-08","Inhibition versus Potentiation of Ligand-Gated Ion Channels Can Be Altered by a Single Mutation that Moves Ligands between Intra- and Intersubunit Sites","Structure","0969-2126","Elsevier BV",78
"10.1271/bbb.130284","2013-09-23"," A Thermophilic Alkalophilic ü¾¼-Amylase from Bacillus sp. AAH-31 Shows a Novel Domain Organization among Glycoside Hydrolase Family 13 Enzymes ","Bioscience","0916-8451","Informa UK Limited",301
"10.5586/aa.2013.027","2013-07-04","Fungal pathogens of the genus Fusarium in winter wheat Triticum aestivum L. protected with fungicides in north-eastern Poland","Acta Agrobotanica","2300-357X","Polish Botanical Society",3614
"10.3747/pdi.2013.00143","2013-07-01","PD Research Round-up: Sodium Sensing: Link to (Auto)immunity","Peritoneal Dialysis International","0896-8608","MultiMed Inc.",2059
"10.1007/s00535-013-0893-z","2013-10-05","Occlusion of portosystemic shunts improves hyperinsulinemia due to insulin resistance in cirrhotic patients with portal hypertension","Journal of Gastroenterology","0944-1174","Springer Science + Business Media",297
"10.1179/1432891713z.000000000191","2013-07","Influence of different curing temperatures on mechanical properties of alkali activated silica fume and fly ash based geopolymer","Materials Research Innovations","1432-8917","Maney Publishing",138
"10.1158/0008-5472.sabcs13-p6-06-53","2013-12-15","Abstract P6-06-53: Ki67 labelling index (Ki67LI) can subdivide homogeneous HER2 negative luminal grading groups (HNL-GG) in distinct biological entities","Cancer Research","0008-5472","American Association for Cancer Research (AACR)",1086
"10.1002/bimj.201370052","2013-09","Editorial Board: Biometrical Journal 5'13","Biometrical Journal","0323-3847","Wiley-Blackwell",311
"10.1002/jhet.1555","2013-12-10","NBS-Mediated Aziridination between Styrenes and Amides under Transition Metal-Free Conditions","J. Heterocyclic Chem.","0022-152X","Wiley-Blackwell",311
"10.11646/phytotaxa.153.1.3","2013-12-13","<strong><em>Psychotria apdavisiana sp. nov.</em> (Rubiaceae), a remarkable calciphile from the southern karst of Papua New Guinea</strong>","Phytotaxa","1179-3163","Magnolia Press",4913
"10.1007/s12285-013-0372-9","2013-08-17","Reparatur- und Rekonstruktionsverfahren der Nn. lingualis und alveolaris inferior","Der MKG-Chirurg","1865-9659","Springer Science + Business Media",297
"10.1080/14759551.2013.828724","2013-05-28","Discursive strategies for navigating the terrain between the sacred and the profane","Culture and Organization","1475-9551","Informa UK Limited",301
"10.1371/journal.ppat.1003507","2013-07-25","A Product of Heme Catabolism Modulates Bacterial Function and Survival","PLoS Pathogens","1553-7374","Public Library of Science (PLoS)",340
"10.1016/s1434-4610(13)00102-8","2013-11","Author Index","Protist","1434-4610","Elsevier BV",78
"10.1007/s10682-013-9683-6","2013-11-23","Viewing distance affects how the presence of inedible models influence the benefit of masquerade","Evol Ecol","0269-7653","Springer Science + Business Media",297
"10.1074/jbc.m113.463224","2013-08-12","Global Shapes of F-actin Depolymerization-competent Minimal Gelsolins: INSIGHT INTO THE ROLE OF g2-g3 LINKER IN pH/Ca2+ INSENSITIVITY OF THE FIRST HALF","Journal of Biological Chemistry","0021-9258","American Society for Biochemistry & Molecular Biology (ASBMB)",28
"10.1136/gutjnl-2013-305799","2013-10-14","Roseburia hominis: a novel guilty player in ulcerative colitis pathogenesis?","Gut","0017-5749","BMJ",239
"10.1093/comnet/cnt013","2013-09-25","Social and landscape effects on food webs: a multi-level network simulation model","Journal of Complex Networks","2051-1310","Oxford University Press (OUP)",286
"10.1055/s-0032-1332936","2013-04-04","Prü¾¼klinisches Strahlenunfallmanagement - Entwicklung eines Curriculums fü¾¶¼r Notü¾¼rzte","Der Notarzt","0177-2309","Thieme Publishing Group",194
"10.1149/05305.0115ecst","2013-05-02","Performance of Junctionless Nanowire MOSFET as a Quasi-Linear Resistor","ECS Transactions","1938-6737","The Electrochemical Society",77
"10.1016/j.scitotenv.2013.02.041","2013-05","Occurrence and removal efficiencies of benzotriazoles and benzothiazoles in a wastewater treatment plant in Greece","Science of The Total Environment","0048-9697","Elsevier BV",78
"10.3390/ijms141019540","2013-09-26","Isolation and Characterization of Squamous Cell Carcinoma-Derived Stem-like Cells: Role in Tumor Formation","IJMS","1422-0067","MDPI AG",1968
"10.1080/2158379x.2013.774971","2013-04","The figure of authority: the affective biopolitics of the mother and the dying man","Journal of Political Power","2158-379X","Informa UK Limited",301
"10.1016/j.jmapro.2013.01.004","2013-04","Part 1: Analytical modeling of symmetric multi-nose tube hydroforming","Journal of Manufacturing Processes","1526-6125","Elsevier BV",78
"10.3109/15360288.2013.810900","2013-06","SWEET-TASTING SOLUTIONS FOR NEEDLE-RELATED PROCEDURAL PAIN IN INFANTS 1 MONTH TO 1 YEAR OF AGE","J Pain Palliat Care Pharmacother","1536-0288","Informa Healthcare",3197
"10.1080/08912963.2012.683194","2013-02"," What are Nummulites discorbinus, N. beaumonti (Neotypes) and N. qurnensis n.sp.? Biometry and stratigraphic significance from the Middle Eocene, Egypt ","Historical Biology","0891-2963","Informa UK Limited",301
"10.1038/jcbfm.2013.190","2013-10-30","In memoriam: Bo K Siesjü¾¦¼, 19302013","J Cereb Blood Flow Metab","0271-678X","Nature Publishing Group",339
"10.4025/actascieduc.v35i2.17551","2013-10-16","<b>A influü¾¼ncia dos desenhos animados nas atitudes frente ü¾¼ ciü¾¼ncia e a ser cientista</b> - doi: 10.4025/actascilangcult.v35i2.17551","Acta Sci. Educ.","2178-5201","Universidade Estadual de Maringa",2451
"10.4156/jdcta.vol7.issue3.80","2013-02-15","Design and Application on Logging Data Warehouse","JDCTA","1975-9339","AICIT",2647
"10.3402/fnr.v57i0.21083","2013-05-23","Protein intake from 0 to 18 years of age and its relation to health: a systematic literature review for the 5th Nordic Nutrition Recommendations","Food & Nutrition Research","1654-661X","Co-Action Publishing",1989
"10.1017/s1352465813000040","2013-02-12","BCP volume 41 issue 2 Cover and Front matter","Behav. Cogn. Psychother.","1352-4658","Cambridge University Press (CUP)",56
"10.1098/rsbl.2013.0057","2013-01-08","Jaws for a spiral-tooth whorl: CT images reveal novel adaptation and phylogeny in fossil Helicoprion","Biology Letters","1744-9561","The Royal Society",175
"10.1177/0141076813488287","2013-05-01","Death Notices","Journal of the Royal Society of Medicine","0141-0768","SAGE Publications",179
"10.1016/j.eujim.2013.06.005","2013-10","Complementary therapies in cancer: Patients views on their purposes and value pre and post receipt of complementary therapyA multi-centre case study","European Journal of Integrative Medicine","1876-3820","Elsevier BV",78
"10.13005/bbra/1154","2013-06-30","Versatality of Buccal Pad Fat Grafts in Surgical Treatment of Oral Submucous Fibrosis","Biosci.","0973-1245","Oriental Scientific Publishing Company",5186
"10.3402/pba.v3i0.20679","2013-10-04","A novel radial water tread maze tracks age-related cognitive decline in mice","Pathobiology of Aging & Age-related Diseases","2001-0001","Co-Action Publishing",1989
"10.1352/1934-9556-51.01.062","2013-02","Family Caregivers' Perspectives on Barriers and Facilitators of Cervical and Breast Cancer Screening for Women with Intellectual Disability","Intellectual and Developmental Disabilities","1934-9491","American Association on Intellectual and Developmental Disabilities (AAIDD)",223
"10.1016/j.jvir.2013.01.084","2013-04","Accessory draining vein embolization in the salvage of nonfunctioning arteriovenous fistulae","Journal of Vascular and Interventional Radiology","1051-0443","Elsevier BV",78
"10.1007/s11442-013-1062-2","2013-10-04","Vegetation greenness modeling in response to climate change for Northeast Thailand","J. Geogr. Sci.","1009-637X","Springer Science + Business Media",297
"10.1016/j.cclet.2013.04.014","2013-07","Gold nanoparticles functionalized with supramolecular macrocycles","Chinese Chemical Letters","1001-8417","Elsevier BV",78
"10.1007/s38313-013-0103-7","2013-09-03","Engine Noise Synthesis Based on Cylinder Pressure Data","MTZ Worldw","2192-9114","Springer Science + Business Media",297
"10.1016/j.dcm.2013.01.002","2013-03","Silence and face-work in two chinese TV talk shows","Discourse","2211-6958","Elsevier BV",78
"10.2174/15734137113099990089","2013-08-01","Multi Fractal Process of Powder Particle Breakage and Aggregation","Current Nanoscience","1573-4137","Bentham Science Publishers Ltd.",965
"10.1016/j.jpain.2013.01.728","2013-04","The role of mindfulness and perceived threat on pain tolerance","The Journal of Pain","1526-5900","Elsevier BV",78
"10.7575/aiac.abcmed.v.1n.1p.1","2013-07-01","Introducing Advances in Bioscience and Clinical Medicine (ABCmed)","Advances in Bioscience and Clinical Medicine","2203-1413","Australian International Academic Centre",4387
